Missing data from input file BMR_Neestimator_062421.txt.

Possible four types of missing data at a locus:
	1. Genotype contains only zeros or partially scored.
	2. Genotype has less digits than normal one.
	3. Genotype has more digits than normal one.
	4. Genotype contains non-digit character.
Types 3 and 4 stop the program.

In the table, each row is for an individual with missing data
(a) If column 'Locus' has only one number, then it is the first
    locus with missing data and also of highest missing data type.
(b) If column 'Locus' has 2 numbers, then the first number is
    the first locus with data missing, and the second number is
    the first locus that has highest missing data type.
(c) Genotype column contains the genotype of the locus in case (a)
    or the second locus in case (b).

Population 1 [PM_BMR_017]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
     474         1390             0000             4
     475          217             0000            14
     476           79             0000            30
     477            1             0000          1812
     478            2             0000           532
     479            3             0000            15
     480          148             0000             8
     481          218             0000            14
     482            3             0000            12
     483            3             0000            40
     484          925             0000            10
     485            3             0000            46
     486            2             0000           452
     487            3             0000            24
     488          649             0000            12
     489            3             0000           103
     490            3             0000            18
     491           79             0000            14
     492           79             0000            11
     493           38             0000            93
     494          217             0000            15
     495          218             0000             8
     496            3             0000            36
     497          217             0000            11
     498          218             0000            16
     499          218             0000            14
     500            3             0000           140
     501            2             0000          1365
     502          117             0000            13
     503            3             0000            27
     504            3             0000            29
     505          756             0000             6
     506            3             0000            70
     507            3             0000            56
     508          218             0000            16
     509            2             0000          1418
     510            3             0000            12
     511            3             0000            62
     512           58             0000            18
     513            3             0000            54
     514           46             0000            24
     515            3             0000           123
     516          147             0000            12
     517          218             0000            19
     518            3             0000           260
     519          218             0000            10
     520            3             0000           261
     521            3             0000            15
     522          218             0000            17
     523            3             0000            67
     524            3             0000           268
     525            3             0000           217
     526            2             0000           538
     527            3             0000            56
     528          210             0000            14
     529           38             0000            13
     530           79             0000            29
     531          148             0000            13
     532            3             0000          1459
     533          210             0000            13
     534           80             0000            42
     535          218             0000            10
     536          218             0000            21
     537            3             0000            42
     538            3             0000            59
     539            3             0000           114
     540           79             0000            39
     541            2             0000          1478
     542           46             0000            94
     543          218             0000            11
     544            3             0000             9
     545            3             0000            12
     546            3             0000            28
     547          218             0000             8
     548            3             0000            55
     549           46             0000            22
     550          218             0000            14
     551         1369             0000             4
     552          217             0000            11
     553           79             0000            14
     554           79             0000            11
     555          117             0000             9
     556            3             0000           175
     557            3             0000           237
     558            3             0000           140
     559            3             0000            16
     560            3             0000            16
     561           79             0000            20
     562           51             0000            14
     563          218             0000            19
     564           79             0000            51
     565          217             0000            12
     566            3             0000           129
     567           38             0000            30
     568           38             0000             9
     569          218             0000            15
     570          313             0000             8
     571          217             0000            15
     572          148             0000            22
     573            1             0000          1935
     574            3             0000            74
     575            3             0000            32
     576           58             0000            10
     577           79             0000            25
     578          702             0000            10
     579          218             0000             8
