OffspringID	FatherID	MotherID	ClusterIndex
PM_BMR_296	30	32	4
PM_BMR_297	38	39	4
PM_BMR_298	31	33	5
PM_BMR_299	30	32	4
PM_BMR_300	43	47	15
PM_BMR_301	17	19	5
PM_BMR_302	17	36	5
PM_BMR_303	38	43	4
PM_BMR_304	41	47	15
PM_BMR_305	38	43	4
PM_BMR_306	34	6	4
PM_BMR_307	42	34	5
PM_BMR_308	16	17	8
PM_BMR_309	12	15	4
PM_BMR_310	6	18	4
PM_BMR_311	17	52	5
PM_BMR_312	31	33	5
PM_BMR_313	11	14	5
PM_BMR_314	16	17	8
PM_BMR_315	41	47	15
PM_BMR_316	10	23	5
PM_BMR_317	46	53	17
PM_BMR_318	35	37	4
PM_BMR_319	16	17	8
PM_BMR_320	35	37	4
PM_BMR_321	11	14	5
PM_BMR_322	13	14	5
PM_BMR_323	18	19	5
PM_BMR_324	28	5	5
PM_BMR_325	7	11	6
PM_BMR_326	7	11	6
PM_BMR_327	10	13	5
PM_BMR_328	6	18	4
PM_BMR_329	7	16	6
PM_BMR_330	6	18	4
PM_BMR_331	18	54	5
PM_BMR_332	10	23	5
PM_BMR_333	7	11	6
PM_BMR_334	18	20	5
PM_BMR_335	7	11	6
PM_BMR_336	10	12	5
PM_BMR_337	7	11	6
PM_BMR_338	7	11	6
PM_BMR_339	7	24	6
PM_BMR_340	7	11	6
PM_BMR_341	7	16	6
PM_BMR_342	10	12	5
PM_BMR_343	7	11	6
PM_BMR_344	10	13	5
PM_BMR_345	6	18	4
PM_BMR_346	10	13	5
PM_BMR_347	10	12	5
PM_BMR_348	4	4	4
PM_BMR_349	10	5	5
PM_BMR_350	6	18	4
PM_BMR_351	10	12	5
PM_BMR_352	6	18	4
PM_BMR_353	10	13	5
PM_BMR_354	11	14	5
PM_BMR_355	10	23	5
PM_BMR_356	6	18	4
PM_BMR_357	19	15	4
PM_BMR_358	5	12	5
PM_BMR_359	20	23	5
PM_BMR_360	7	11	6
PM_BMR_361	4	4	4
PM_BMR_362	4	4	4
PM_BMR_363	11	14	5
PM_BMR_364	11	14	5
PM_BMR_365	20	23	5
PM_BMR_366	17	22	5
PM_BMR_367	6	18	4
PM_BMR_368	7	11	6
PM_BMR_369	11	14	5
PM_BMR_370	6	6	4
PM_BMR_371	7	11	6
PM_BMR_372	4	4	4
PM_BMR_373	7	11	6
PM_BMR_374	16	17	8
PM_BMR_375	7	11	6
PM_BMR_376	28	10	5
PM_BMR_377	18	54	5
PM_BMR_378	11	14	5
PM_BMR_379	15	5	5
PM_BMR_380	7	24	6
PM_BMR_381	7	7	6
PM_BMR_382	7	16	6
PM_BMR_383	10	23	5
PM_BMR_384	18	54	5
PM_BMR_385	10	12	5
PM_BMR_386	18	54	5
PM_BMR_387	10	12	5
PM_BMR_388	16	17	8
PM_BMR_389	20	23	5
PM_BMR_390	28	5	5
PM_BMR_391	11	14	5
PM_BMR_392	11	14	5
PM_BMR_393	6	18	4
PM_BMR_394	13	14	5
PM_BMR_395	15	5	5
PM_BMR_396	11	14	5
PM_BMR_397	10	12	5
PM_BMR_398	10	13	5
PM_BMR_399	19	15	4
PM_BMR_400	6	18	4
PM_BMR_401	11	14	5
PM_BMR_402	20	20	5
PM_BMR_403	12	15	4
PM_BMR_405	11	14	5
PM_BMR_406	7	11	6
PM_BMR_407	6	18	4
PM_BMR_408	20	23	5
PM_BMR_409	15	5	5
PM_BMR_410	15	5	5
PM_BMR_411	7	16	6
PM_BMR_412	18	20	5
PM_BMR_413	7	11	6
