ID	Year_collect	Length	Weight	cohort	Father	Mother	Cluster
PM_BMR_064	2017	68	0.223	2016	7	11	6
PM_BMR_065	2017	69	0.283	2016	12	15	4
PM_BMR_066	2017	72	0.381	2016	19	21	4
PM_BMR_067	2017	58	0.149	2016	7	7	6
PM_BMR_068	2017	70	0.292	2016	17	22	5
PM_BMR_069	2017	68	0.265	2016	9	14	5
PM_BMR_070	2017	75	0.368	2016	14	4	4
PM_BMR_071	2017	70	0.34	2016	11	14	5
PM_BMR_072	2017	67	0.268	2016	4	4	4
PM_BMR_073	2017	68	0.236	2016	13	14	5
PM_BMR_074	2017	71	0.248	2016	10	13	5
PM_BMR_075	2017	73	0.301	2016	10	13	5
PM_BMR_076	2017	69	0.242	2016	11	14	5
PM_BMR_077	2017	71	0.236	2016	11	14	5
PM_BMR_078	2017	63	0.244	2016	6	6	4
PM_BMR_079	2017	67	0.22	2016	11	14	5
PM_BMR_080	2017	75	0.3	2016	10	23	5
PM_BMR_081	2017	72	0.275	2016	9	14	5
PM_BMR_082	2017	62	0.206	2016	11	14	5
PM_BMR_083	2017	68	0.301	2016	12	15	4
PM_BMR_084	2017	65	0.253	2016	1	1	1
PM_BMR_085	2017	54	0.147	2016	4	4	4
PM_BMR_086	2017	69	0.26	2016	14	4	4
PM_BMR_087	2017	68	0.235	2016	16	17	8
PM_BMR_088	2017	67	0.228	2016	7	7	6
PM_BMR_089	2017	57	0.132	2016	11	14	5
PM_BMR_090	2017	69	0.316	2016	4	4	4
PM_BMR_091	2017	68	0.267	2016	16	17	8
PM_BMR_092	2017	71	0.279	2016	7	7	6
PM_BMR_093	2017	74	0.26	2016	13	14	5
PM_BMR_094	2017	62	0.181	2016	11	14	5
PM_BMR_095	2017	65	0.31	2016	4	4	4
PM_BMR_096	2017	66	0.241	2016	12	15	4
PM_BMR_097	2017	68	0.203	2016	11	14	5
PM_BMR_098	2017	68	0.235	2016	7	7	6
PM_BMR_099	2017	67	0.247	2016	4	4	4
PM_BMR_100	2017	66	0.32	2016	7	11	6
PM_BMR_1000	2018	83	0.669	2016	7	24	6
PM_BMR_1001	2018	96	1.207	2015	17	19	5
PM_BMR_1002	2018	84	0.817	2016	7	11	6
PM_BMR_1003	2018	81	0.635	2016	7	16	6
PM_BMR_1004	2018	87	0.77	2016	7	11	6
PM_BMR_1005	2018	90	1.196	2015	10	12	5
PM_BMR_1006	2018	97	1.298	2015	7	11	6
PM_BMR_1007	2018	99	1.119	2015	13	14	5
PM_BMR_1008	2018	89	0.85	2015	7	7	6
PM_BMR_1009	2018	80	0.566	2016	10	23	5
PM_BMR_101	2017	69	0.197	2016	11	14	5
PM_BMR_1010	2018	95	0.949	2015	7	24	6
PM_BMR_1011	2018	99	1.326	2015	4	4	4
PM_BMR_1012	2018	85	0.865	2016	4	4	4
PM_BMR_1013	2018	97	1.159	2015	7	11	6
PM_BMR_1014	2018	90	0.869	2015	10	12	5
PM_BMR_1015	2018	85	0.8	2016	4	4	4
PM_BMR_1016	2018	90	0.99	2015	18	20	5
PM_BMR_1017	2018	85	0.782	2016	10	12	5
PM_BMR_1018	2018	87	0.75	2016	11	14	5
PM_BMR_1019	2018	98	1.031	2015	7	7	6
PM_BMR_102	2017	70	0.261	2016	10	12	5
PM_BMR_1020	2018	95	1.22	2015	7	7	6
